run_id,method_family,seed_value,corruption_fraction,confidence,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges,edge_count_from_thresholded_adjacency
soft_frobenius__main_evaluation__seed504__cfgffccb8ef3ce2,soft_frobenius,504,0.0,0.0,10,0.00014444745600932266,0.0,0.0920648035348837,9
soft_frobenius__main_evaluation__seed505__cfg1fac1ef5449d,soft_frobenius,505,0.6,1.0,10,0.00010730855914267275,0.0,0.11031130239561611,11
soft_frobenius__main_evaluation__seed505__cfg2119382be166,soft_frobenius,505,0.4,0.0,10,0.126054532120185,0.1,0.09457813673728858,11
soft_frobenius__main_evaluation__seed505__cfg254f81e809fe,soft_frobenius,505,0.2,1.0,10,0.023767922609874887,0.0,0.10446257496680848,12
soft_frobenius__main_evaluation__seed505__cfg37eecb96fc4a,soft_frobenius,505,0.4,0.75,10,0.09188970088008157,0.1,0.09394205445772244,12
soft_frobenius__main_evaluation__seed505__cfg4af03155137e,soft_frobenius,505,0.4,1.0,10,0.08439431967829936,0.1,0.09382097398498095,12
soft_frobenius__main_evaluation__seed505__cfg4ceaed482eaf,soft_frobenius,505,0.2,0.75,10,0.026570153706027767,0.0,0.10458948611836036,12
soft_frobenius__main_evaluation__seed505__cfg51cde9b85085,soft_frobenius,505,0.0,0.75,10,0.04461781043374619,0.0,0.10029972675559089,12
soft_frobenius__main_evaluation__seed505__cfg559ffb4d2caa,soft_frobenius,505,0.6,0.5,10,0.00010308085613762012,0.0,0.11031662967219295,11
soft_frobenius__main_evaluation__seed505__cfg66a088d8c27b,soft_frobenius,505,0.0,1.0,10,0.03994692443131108,0.0,0.10002451739920482,12
soft_frobenius__main_evaluation__seed505__cfg7a48ae1727ec,soft_frobenius,505,0.2,0.0,10,0.04103377469685989,0.0,0.10520573141520424,11
soft_frobenius__main_evaluation__seed505__cfg7d6cc414f4a9,soft_frobenius,505,0.0,0.25,10,0.05835552944447013,0.0,0.10110199534642676,12
soft_frobenius__main_evaluation__seed505__cfg84dbe6c1f552,soft_frobenius,505,0.4,0.5,10,0.10087522919951308,0.1,0.09410918447034364,12
soft_frobenius__main_evaluation__seed505__cfg9b3a547104cc,soft_frobenius,505,0.8,0.5,10,0.14467641544294757,0.2,0.08907469839257673,11
soft_frobenius__main_evaluation__seed505__cfg9d72ca7122a9,soft_frobenius,505,0.4,0.25,10,0.11195245262422149,0.1,0.09430685645324435,12
soft_frobenius__main_evaluation__seed505__cfga02e0911e7f5,soft_frobenius,505,0.2,0.5,10,0.03010470802107435,0.0,0.10474441208387719,12
soft_frobenius__main_evaluation__seed505__cfga54c7df46b77,soft_frobenius,505,0.6,0.0,10,0.00010409018198600544,0.0,0.11032194197956344,11
