run_id,method_family,seed_value,corruption_fraction,confidence,intervention_id,target_node,value_raw,mmd_value,mmd_status,bandwidth_used,bandwidth_sweep_0_5x,bandwidth_sweep_1_0x,bandwidth_sweep_2_0x,sampler_status_for_intervention,sampler_reason
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X3_pos2,3,2.0,0.036216336503066826,available,389.0645468115341,0.037350315413479385,0.036216336503066826,0.03318861210384294,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X4_neg2,4,-2.0,0.20013881438384723,available,228.31783046773666,0.17816729168232007,0.20013881438384723,0.18906260756808713,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X4_pos2,4,2.0,0.21677751562751318,available,233.82492089723635,0.19415984003138728,0.21677751562751318,0.2027558556607683,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X5_neg2,5,-2.0,0.03995710091554938,available,297.70741344587225,0.046684117292789706,0.03995710091554938,0.02922481950371625,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X5_pos2,5,2.0,0.04930005837470075,available,279.62487166072367,0.055839884328352796,0.04930005837470075,0.03814386892110366,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X6_neg2,6,-2.0,0.5661783011096485,available,521.7515147246893,0.4818314843929743,0.5661783011096485,0.5669922108584732,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X6_pos2,6,2.0,0.5529757374372117,available,486.03683612537725,0.47749309766474696,0.5529757374372117,0.5456496081272793,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X7_neg2,7,-2.0,0.0038092444009868442,available,309.442405131983,0.0057585096047073625,0.0038092444009868442,0.002266819347750304,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X7_pos2,7,2.0,0.006844474860497274,available,321.70508884661444,0.009639884740199445,0.006844474860497274,0.004501359274820427,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X8_neg2,8,-2.0,0.2567286291407111,available,67.14360807073182,0.22241003007542917,0.2567286291407111,0.223093865672235,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X8_pos2,8,2.0,0.2403930304505566,available,68.40474363219295,0.20308202507099085,0.2403930304505566,0.21222504471345516,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X9_neg2,9,-2.0,0.08254173454536079,available,271.52864811216466,0.06860993681292277,0.08254173454536079,0.08605275677515056,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X9_pos2,9,2.0,0.11768434302273373,available,282.38085200189965,0.09652069926500764,0.11768434302273373,0.12261378925199695,available,
