method_family,corruption_fraction,confidence,intervention_id,target_node,value_raw,n,mean_mmd,std_mmd,median_mmd,min_mmd,max_mmd
hard_exclusion,0.4,,do_X3_neg2,3,-2.0,7,0.1003093443666906,0.07589635994728602,0.08607223163181738,0.03542066169092711,0.2586567189931746
hard_exclusion,0.4,,do_X3_pos2,3,2.0,7,0.10078633320591916,0.08344674693715783,0.0687587221517269,0.03490583505053024,0.27308886629706663
hard_exclusion,0.4,,do_X4_neg2,4,-2.0,7,0.10198828774883174,0.07653095626138778,0.07395665220391207,0.02904887462177158,0.22225184557733174
hard_exclusion,0.4,,do_X4_pos2,4,2.0,7,0.10332715967058881,0.08426150747140744,0.0658646569080687,0.0314876527060321,0.23789658310258172
hard_exclusion,0.4,,do_X5_neg2,5,-2.0,7,0.1988945146577031,0.2031092556289532,0.10773842532530675,0.026652347688954248,0.5990212793323638
hard_exclusion,0.4,,do_X5_pos2,5,2.0,7,0.20721720645788427,0.21199154694870354,0.11468859974390044,0.03913957911234345,0.613994019463791
hard_exclusion,0.4,,do_X6_neg2,6,-2.0,7,0.24533782399342494,0.23235127873631128,0.21967218935284344,0.03759164260101511,0.6235004929079702
hard_exclusion,0.4,,do_X6_pos2,6,2.0,7,0.2486888726456549,0.22029166256076374,0.24335971863514172,0.04394109819020953,0.5940293161322153
hard_exclusion,0.4,,do_X7_neg2,7,-2.0,7,0.09678954369864326,0.07714164027884103,0.07721585894186872,0.006874275436647981,0.2326350227556801
hard_exclusion,0.4,,do_X7_pos2,7,2.0,7,0.10108526116562132,0.09057747561564584,0.08072167110015022,0.006803593758409332,0.2859689789649053
hard_exclusion,0.4,,do_X8_neg2,8,-2.0,7,0.09835612041249624,0.05396166364646175,0.0811349158079851,0.046602167320893284,0.18807966373404245
hard_exclusion,0.4,,do_X8_pos2,8,2.0,7,0.09120157512815143,0.05417521303797548,0.06860983788455133,0.04225983718115767,0.16971751683190278
hard_exclusion,0.4,,do_X9_neg2,9,-2.0,7,0.08931612996323371,0.08351335507004472,0.08120680724461088,0.005967185798109176,0.2380121528387198
hard_exclusion,0.4,,do_X9_pos2,9,2.0,7,0.09715806008509843,0.09083410993003782,0.08558896499705759,0.003393382045812743,0.2588285339975166
hard_exclusion,0.6,,do_X0_neg2,0,-2.0,7,0.05274878597888822,0.06342351572667324,0.010378891833998982,0.004432515290911598,0.17128630734053923
hard_exclusion,0.6,,do_X0_pos2,0,2.0,7,0.053507129425430795,0.07127538952468608,0.010242908544009277,0.004282880514520138,0.19847236721156242
hard_exclusion,0.6,,do_X1_neg2,1,-2.0,7,0.08161646814332657,0.07202434796592008,0.07700105379223993,0.011928457053379249,0.21885371162684786
hard_exclusion,0.6,,do_X1_pos2,1,2.0,7,0.0950593491816968,0.09669790051326878,0.08822286035852556,0.005330702344478466,0.2792447431480905
hard_exclusion,0.6,,do_X2_neg2,2,-2.0,7,0.05774179519939176,0.05121521136719013,0.05386894034395995,0.005279063037870013,0.13430857340378022
hard_exclusion,0.6,,do_X2_pos2,2,2.0,7,0.05914955127796714,0.05404762019982024,0.05323689913365853,0.010877718735086972,0.1485074441188985
