run_id,method_family,seed_value,corruption_fraction,confidence,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges,edge_count_from_thresholded_adjacency
soft_frobenius__main_evaluation__seed503__cfg93b2b03cf6cd,soft_frobenius,503,0.8,1.0,10,0.09391692149693104,0.2,0.14139477364048963,18
soft_frobenius__main_evaluation__seed503__cfga26f53d8e2dd,soft_frobenius,503,0.0,0.25,10,0.039173380941168276,0.1,0.15877802632188467,18
soft_frobenius__main_evaluation__seed503__cfgbbffbe4cece9,soft_frobenius,503,0.0,1.0,10,0.000816682126431126,0.0,0.163867325300504,17
soft_frobenius__main_evaluation__seed503__cfgdad4e3ca4d6a,soft_frobenius,503,0.0,0.5,10,0.031972109590299405,0.1,0.15949399519344007,18
soft_frobenius__main_evaluation__seed503__cfgdfc493b01ad1,soft_frobenius,503,0.8,0.0,10,0.28404504338062125,0.3,0.1284450860208197,17
soft_frobenius__main_evaluation__seed503__cfge4baf293446c,soft_frobenius,503,0.8,0.25,10,0.15067684931850794,0.2,0.13824503614312394,17
soft_frobenius__main_evaluation__seed503__cfgedd98562b319,soft_frobenius,503,0.2,0.5,10,0.04364048908169164,0.1,0.15792247552704888,18
soft_frobenius__main_evaluation__seed503__cfgf2be0549e355,soft_frobenius,503,0.4,0.25,10,0.02142896603766415,0.0,0.16178479550868521,16
soft_frobenius__main_evaluation__seed503__cfgf53488bccf09,soft_frobenius,503,0.2,0.75,10,0.03773785920612115,0.1,0.15847521263124223,18
soft_frobenius__main_evaluation__seed504__cfg0da2540f72d1,soft_frobenius,504,0.6,0.0,10,0.07920314044708851,0.1,0.11834549950648429,13
soft_frobenius__main_evaluation__seed504__cfg35923100956e,soft_frobenius,504,0.2,0.75,10,0.0322831083268907,0.0,0.12035378671337502,12
soft_frobenius__main_evaluation__seed504__cfg458ef8798e5c,soft_frobenius,504,0.2,1.0,10,0.028548237972558586,0.0,0.12033960181988138,12
soft_frobenius__main_evaluation__seed504__cfg56a1163b6d53,soft_frobenius,504,0.4,0.25,10,0.07097157895424241,0.1,0.11882320773455772,13
soft_frobenius__main_evaluation__seed504__cfg5d30e8119853,soft_frobenius,504,0.0,0.25,10,0.044243774014292796,0.1,0.12051285515127756,13
soft_frobenius__main_evaluation__seed504__cfg5d464b4d533f,soft_frobenius,504,0.8,0.0,10,0.1612115452477247,0.2,0.10809444890640477,13
soft_frobenius__main_evaluation__seed504__cfg61e3a7524f8f,soft_frobenius,504,0.0,0.5,10,0.03718905032672938,0.0,0.12038999417486833,12
soft_frobenius__main_evaluation__seed504__cfg6367ad326c2f,soft_frobenius,504,0.4,1.0,10,0.04056803628855718,0.1,0.12365250772779482,14
soft_frobenius__main_evaluation__seed504__cfg6493e72fefe8,soft_frobenius,504,0.8,0.5,10,0.10986069360637571,0.2,0.11244057248159456,14
soft_frobenius__main_evaluation__seed504__cfg67c99cc4c7d5,soft_frobenius,504,0.0,0.75,10,0.03228155637959084,0.0,0.12035336128149968,12
soft_frobenius__main_evaluation__seed504__cfg6a1a0bb481aa,soft_frobenius,504,0.8,1.0,10,0.08659625501515403,0.2,0.11412605699637919,14
soft_frobenius__main_evaluation__seed504__cfg6c130273f9aa,soft_frobenius,504,0.4,0.75,10,0.047660090291750626,0.1,0.1223699842901778,14
soft_frobenius__main_evaluation__seed504__cfg6f3564556f14,soft_frobenius,504,0.8,0.75,10,0.09657878440324898,0.2,0.11343395690823596,14
soft_frobenius__main_evaluation__seed504__cfg8af10924c516,soft_frobenius,504,0.4,0.5,10,0.05767758776723726,0.1,0.12058122469579566,13
soft_frobenius__main_evaluation__seed504__cfga208b73df0aa,soft_frobenius,504,0.2,0.0,10,0.05741692471519836,0.1,0.12106877647297054,13
soft_frobenius__main_evaluation__seed504__cfgad26a86a6183,soft_frobenius,504,0.4,0.0,10,0.08792357880717784,0.1,0.11725544471147313,13
