run_id,configuration_hash_prefix,configuration_hash_full,method_family,final_status,was_overwritten,record_path,runtime_seconds,message
soft_frobenius__main_evaluation__seed502__cfg6852bfaf07be,6852bfaf07be,6852bfaf07bec9fd5d559d430f71a6921c71b32660b543b9713142d1bd701267,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg6852bfaf07be.json,7.2887975000048755,
hard_exclusion__main_evaluation__seed502__cfg01878a261f06,01878a261f06,01878a261f06eb9b71adfa5dc81e46b2e36788dbbbac453fd595d8ef0ebe703f,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfg01878a261f06.json,7.8857652000006055,
hard_exclusion__main_evaluation__seed502__cfg7cde2ac19b9f,7cde2ac19b9f,7cde2ac19b9f61fd87b02e8b9e923a9e51308081f27cb804e72c15127eeab4bf,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfg7cde2ac19b9f.json,9.847745599996415,
hard_exclusion__main_evaluation__seed502__cfg1a0b25f41682,1a0b25f41682,1a0b25f41682c831fe5bcb681c97e18ddf2f2325a5ee61b2becffeba665d1967,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfg1a0b25f41682.json,8.899931399995694,
hard_exclusion__main_evaluation__seed502__cfg23e10daafdd2,23e10daafdd2,23e10daafdd25fc232f17d67a5613496f72a74d347b8cbb5ba2c724ec6dab1d6,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfg23e10daafdd2.json,9.96454359999916,
hard_exclusion__main_evaluation__seed502__cfgdf21f4e82c4b,df21f4e82c4b,df21f4e82c4b80bc2ab9418ab3c87c7f5ed0c7bcf74cc729136ee182b1cc6523,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfgdf21f4e82c4b.json,9.682421699995757,
prior_free__main_evaluation__seed503__cfg240206a765ea,240206a765ea,240206a765ea824203aff3ee93103d32012f64943e0c70b88e6a2d979c9b98e6,prior_free,success_computed,False,results/main_study/166c792c43bc/records/prior_free__main_evaluation__seed503__cfg240206a765ea.json,9.210590199989383,
matched_l1__main_evaluation__seed503__cfg6f27d18c97a3,6f27d18c97a3,6f27d18c97a337f51fab9baddaab63eb5e5c4a64d5ad97ba54e211f2d9a22862,matched_l1,success_computed,False,results/main_study/166c792c43bc/records/matched_l1__main_evaluation__seed503__cfg6f27d18c97a3.json,9.193159199989168,
soft_frobenius__main_evaluation__seed503__cfg6c186f011cc3,6c186f011cc3,6c186f011cc32afa61b02d3b93472f2014a0d5d6fc5d0edd11eb9194a0ed7676,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg6c186f011cc3.json,9.445594499993604,
soft_frobenius__main_evaluation__seed503__cfgaf3b1a42bf33,af3b1a42bf33,af3b1a42bf33ca9f0a66688cf8bf789e41a5e1de40a2f6c52e366dd1687bd0dc,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfgaf3b1a42bf33.json,10.051389300002484,
